FIPS,CountyName,Population
6001,Alameda County,"1,510,271"
6013,Contra Costa County,"1,049,025"
6017,El Dorado County,"181,058"
6037,Los Angeles County,"9,818,605"
6041,Marin County,"252,409"
6059,Orange County,"3,010,232"
6061,Placer County,"348,432"
6065,Riverside County,"2,189,641"
6067,Sacramento County,"1,418,788"
6069,San Benito County,"55,269"
6071,San Bernardino County,"2,035,210"
6073,San Diego County,"3,095,313"
6075,San Francisco County,"805,235"
6081,San Mateo County,"718,451"
6085,Santa Clara County,"1,781,642"
6113,Yolo County,"200,849"
